name,email,phone,city,gender,username,password
'jay,jaya@mail.com,9876512,hyd,male,jay,123456
jay,jaya@2005,98765421,hyd,male,jay,123456
jaya,jaya@mail.com,4654654654,hyd,male,jaya,123456
para,para@mILin,233423242,hyd,male,para,123456
tharun,tharun@mail.com,989898899,hyd,male,tharun,123465
tharun,tharun@mail.com,54654,hyd,male,teja,123456
sai,sai@mail,16578,hyd,male,sai,123456
sdf,sdf@wef,234,fsf,male,sdf,1234
asd,asd@awd,123,asd,male,asdf,asdf
tharun,jaya@2005,98765421,hyd,male,asdfgg,asdfdfs
tharun,jaya@2005,98765421,sf,male,12,1234
tharun,tharun@mail.com,98765421,htd,male,pj,123456
tharun,jaya@2005,98765421,hys,male,sufi,123456
tharun,tharun@mail.com,3432,hys,male,thar,123456
nithya,nithya@mail.com,987654,kmm,female,nithya,123456
sree,sree@mail,987987,hyd,female,sree,123456
ram,ram@mail,545,hud,male,ram,123456
setu,setu@miao,8687,hdy,male,setu,123456
user,user@mail.com,987654,kmm,male,user,123456
balu,balu@mail.com,987654,kmm,male,balu,123456
ags,sdf@s,safsa,asdf,male,asdfas,safdsaf
1,1@1,1,h,male,1,1
para,p@mail,132,hyd,Male,par,123456
chanda,ch@mail,98,hyd,male,chanda,123456
aj,as@as,12,as,male,as,12
q,q@q,q,q,male,Q,qqqq
teja,teja@gmail.com,123456852,srpt,male,teja_123,teja@123
